鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十一樓之２,22.05,住,,,1110515,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15160000,162952,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPPRMLOKJIJGFBB57DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十二樓之２,22.05,住,,,1110527,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15460000,166667,坡道平面,28.99,2000000,讓渡日期113.05.30預售屋、或土地及建物分件登記案件；,RPQRMLOKJIJGFBB67DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十三樓之２,22.05,住,,,1110514,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15510000,167286,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPRRMLOKJIJGFBB77DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號六樓之３,22.05,住,,,1110512,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,14970000,160599,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPXRMLOKJIJGFBB38DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號七樓之３,22.05,住,,,1110515,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15020000,161218,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPOSMLOKJIJGFBB57DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十樓之３,22.05,住,,,1110515,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15410000,166048,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPRSMLOKJIJGFBB87DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十一樓之３,22.05,住,,,1110517,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,109.75,2,2,1,有,有,15160000,162952,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPSSMLOKJIJGFBB97DA,49.01,0.0,3.7,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號九樓之５,25.93,住,,,1110531,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,124.02,2,2,1,有,有,17800000,166263,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPTTMLOKJIJGFBB18DA,56.59,0.0,5.49,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號十三樓之５,25.93,住,,,1110522,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,124.02,2,2,1,有,有,17830000,166579,坡道平面,28.99,2000000,預售屋、或土地及建物分件登記案件；,RPXTMLOKJIJGFBB58DA,56.59,0.0,5.49,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區豐樂五街９９號四樓之６,26.17,住,,,1110515,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131011,125.03,2,2,2,有,有,16960000,155768,坡道平面,28.99,2000000,讓渡日期113.04.22新台幣1705萬元整預售屋、或土地及建物分件登記案件；,RPSUMLOKJIJGFBB18DA,58.51,0.0,4.23,有,
