標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
稀有三民綠光附車位昌益綠光文創園區...,新竹市鐵道路一段,14.2年,辦公/大樓,42.83,26.04,3房2廳2衛,3樓/14樓,坡道平面車位,2,5929HQ,2025-09-20 11:12:12
⭐清大～文教新城採光戶文教新城,新竹市光復路二段,30.2年,華廈,48.64,34.52,3房2廳2衛,7樓/7樓,無車位,1,6308NZ,2025-09-20 11:12:12
夢想成真電梯３房成真,新竹市金雅七街,5.4年,大樓,25.77,16,3房2廳1衛,9樓/12樓,無車位,1,3872KS,2025-09-20 11:12:12
鄰近光武國中寧靜三房,新竹市新莊街,34.1年,華廈,30.37,21.33,3房2廳2衛,6樓/7樓,無車位,1,0824MS,2025-09-20 11:12:12
近清大附小邊間大４房,新竹市中山路,45.1年,公寓,26.61,26.61,4房2廳1.5衛,3樓/5樓,無車位,980,6671WV,2025-09-20 11:12:12
昀白高質感富宇雲悅富宇雲悅,新竹市埔頂一路,7.4年,大樓,40.75,20.66,2房2廳1衛,6樓/14樓,坡道平面車位,3,1548FC,2025-09-20 11:12:12
培英有警衛及垃圾處理美寓,新竹市食品路,45.4年,公寓,48.76,43.39,4房2廳2衛,5樓/5樓,無車位,1,9392UU,2025-09-20 11:12:12
璞石樹海三房附車位璞石,新竹市光復路一段,17.8年,大樓,44.8,25.77,3房2廳2衛,10樓/12樓,坡道平面車位,2,9351PL,2025-09-20 11:12:12
德安家康武陵視野三房車位德安家康,新竹市武陵路,17.1年,大樓,59.72,34.72,3房2廳2衛,7樓/26樓,坡道平面車位,2,3633ZS,2025-09-20 11:12:12
親家Ｑ１高ＣＰ戶稀有釋出親家Q1,新竹市埔頂路,12.0年,大樓,59.51,32.52,2房2廳2衛,4樓/22樓,坡道平面車位,3,4336LT,2025-09-20 11:12:12
興傳經典４房興傳,新竹市北大路,7.1年,大樓,65.92,39.25,4房2廳2衛,18樓/27樓,坡道平面車位,3,6117HR,2025-09-20 11:12:12
#夢想市外棟採光戶夢想市,新竹市立鵬路,10.8年,大樓,80.72,46.24,4房2廳2衛,8樓/27樓,兩個以上車位,4,4185FF,2025-09-20 11:12:12
近巨城採光精品美兩房,新竹市中央路,1.4年,華廈,41.56,24.94,2房2廳2衛,5樓/7樓,塔式車位,2,1406QP,2025-09-20 11:12:23
光復路近竹科整新大三房,新竹市光復路一段,34.6年,公寓,33.09,30.68,3房2廳3衛(含加蓋1衛),5樓/5樓,無車位,1,9897WZ,2025-09-20 11:12:23
竹科悅揚優質名宅兩房平車竹科悅揚,新竹市慈濟路,4.7年,大樓,33.96,15.92,2房2廳1衛,4樓/24樓,坡道平面車位,2,3982PR,2025-09-20 11:12:23
春福禾美三房平車,新竹市延平路三段,2.5年,大樓,43.37,24.77,3房2廳2衛,6樓/15樓,坡道平面車位,1,5344NC,2025-09-20 11:12:23
臻藏．世界首席竹科第一排,新竹市介壽一路,1.8年,大樓,51.99,28.22,2房2廳2衛,15樓/21樓,坡道平面車位,3,5112FZ,2025-09-20 11:12:23
南清大四房車位和峰上景,新竹市南大路,30.1年,華廈,44.85,34.33,4房2廳2衛,4樓/8樓,坡道機械車位,1,3437PX,2025-09-20 11:12:23
店長推薦！富春居兩房車位富春居,新竹市慈濟路,5.4年,大樓,36.7,15.7,2房2廳1衛,4樓/21樓,坡道平面車位,2,3391YG,2025-09-20 11:12:23
（新）店長推薦新巢代三房新巢代,新竹市埔頂三路,13.6年,大樓,45.54,24.27,3房2廳2衛,7樓/15樓,坡道平面車位,2,5669SH,2025-09-20 11:12:23
北門國小附近低總公寓二樓,新竹市東大路二段,44.9年,公寓,42.19,36.99,4房2廳2衛1室,2樓/5樓,無車位,888,4651DN,2025-09-20 11:12:23
三民低總價首購首選公寓,新竹市中華路一段,49.1年,公寓,28.46,28.46,3房2廳1衛,3樓/4樓,無車位,888,0764UN,2025-09-20 11:12:23
敦煌溫馨美三房敦煌,新竹市中央路,17.9年,大樓,64.89,41.93,3房2廳2衛,3樓/29樓,無車位,2,6025VX,2025-09-20 11:12:23
