標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
公館夜市傳家面寬金店,台北市中正區羅斯福路四段,40.2年,店面,28.2,21.2,2廳1衛1室(含加蓋1衛1室),1樓/12樓,無車位,7500,8435CX
正延平北路上超值店面心藝埕,台北市大同區延平北路四段,10.8年,店面,19.86,6.85,1廳,1樓/7樓,塔式車位,2068,1176KT
河濱公園樓中樓附車位,台北市文山區恆光街,34.7年,華廈,105.02,35.44,9房2廳3衛,B1-2樓/6樓,升降平面車位,3458,7784AR
天母高樓景觀美廈,台北市士林區中山北路六段,41.9年,華廈,43.42,39.27,3房2廳2衛,5樓/7樓,無車位,3480,2780WS
延吉街大面寬店住辦忠孝名門華廈(延...,台北市大安區延吉街,38.5年,店面/辦公,64.07,45.56,2房3廳2衛1室(含加蓋1衛),B1-1樓/7樓,無車位,6850,5945NN
☆大湖富邦◆亭臺樓閣大湖富邦-濱湖特...,台北市內湖區成功路五段,25.0年,大樓,81.82,44.74,4房3廳3衛1室(含加蓋1廳),2-3樓/19樓,兩個以上車位,6395,0761BJ
全新裝修近華山美妝一樓,台北市中山區林森北路,48.1年,華廈/辦公,24.83,18.13,2房2廳1衛1室,1樓/6樓,無車位,2966,8801VN
店長推薦【北投透天】,台北市北投區復興四路,34.5年,別墅/透天,123.81,57.4,6房4廳7衛2室(含加蓋1廳1衛),B2-4樓/4樓,其他,4580,1783LZ
松江南京一層一戶辦公,台北市中山區松江路,52.7年,辦公/大樓,176.96,162.73,1廳2衛9室,9樓/11樓,無車位,17342,2122BQ
全新裝潢華廈,台北市松山區民族東路,44.2年,華廈,35.96,31.59,2房2廳2衛,2樓/7樓,無車位,3050,9647GR
文山木柵珍藏公寓首選,台北市文山區木柵路一段,48.7年,公寓,22.28,22.27,4房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,無車位,1998,1067WJ
劍潭方便一樓,台北市士林區後港街,58.7年,公寓,13.65,13.65,1房1廳1衛,1樓/2樓,無車位,1788,7104JG
台北車站五鐵共構美宅,台北市中正區漢口街一段,47.9年,辦公,13.37,10.76,1房1廳1衛,7樓/9樓,無車位,1098,8712CV
師大水岸美景三房水岸4米6,台北市中正區水源路,20.4年,大樓,32.24,14.46,3房2廳2衛1室(含加蓋3房1衛1室),11樓/11樓,塔式車位,3275,6467NX
大直悅榕莊頂樓景觀戶悅榕莊,台北市中山區樂群三路,15.3年,大樓,119.62,59.34,1廳,11樓/11樓,兩個以上車位,14800,6128HS
南京三民公寓３樓大土持,台北市松山區南京東路五段,59.1年,公寓,47.49,47.49,4房2廳1.5衛1室,3樓/4樓,無車位,3988,7240BC
鑫鼎雅筑,台北市士林區天母東路,0.8年,華廈,28.93,16.46,2房2廳2衛,3樓/5樓,無車位,3980,3491VW
注目！璞園天玉露臺戶,台北市士林區天玉街,1.0年,大樓,60.66,32.58,3房2廳2衛,2樓/14樓,坡道平面車位,5980,4815LP
近台大龍門學區採光美邸臺大舒曼,台北市大安區羅斯福路三段,5.9年,華廈,17.37,8.85,2房2廳1衛(含加蓋1房),4樓/6樓,無車位,2488,6631GZ
戀戀台大次高樓景觀戀戀台大,台北市中正區羅斯福路四段,19.8年,大樓,15.17,10.16,2房2廳1衛1室(含加蓋2房1室),14樓/15樓,無車位,2300,4929BF
中山國中寬敞靜巷電梯三房雍華庭,台北市中山區龍江路,37.9年,華廈,43.07,34.29,3房2廳2衛1室,4樓/7樓,無車位,3880,7854MR
紀念堂商圈稀有精緻店面石園新城第三棟,台北市中正區信義路一段,29.4年,店面,35.08,26.32,2房1廳2衛,1樓/12樓,無車位,4890,5272ZB
近文德捷運成功路電梯好屋大杰逸園,台北市內湖區成功路三段,42.9年,華廈,39.07,30.77,2房2廳2衛,4樓/7樓,無車位,2750,9720RM
新生金華永康公園美廈,台北市大安區永康街,28.9年,華廈,51.83,31.21,4房2廳2衛,4樓/5樓,其他,6380,6502AJ
西寧福星低總美套,台北市萬華區西寧南路,43.3年,套房,5.25,3.58,1房1衛,5樓/11樓,無車位,498,6103QU
信義安和採光住辦,台北市大安區信義路四段,41.2年,華廈/辦公,51.58,47.85,1衛4室,2樓/7樓,無車位,5600,8963HT
萬隆捷運靜巷３房,台北市文山區萬隆街,50.9年,公寓,32.07,32.07,3房3廳1衛(含加蓋1廳),4樓/4樓,無車位,2300,2596SK
東湖康樂好宅,台北市內湖區康樂街,38.9年,公寓/其它,39.41,32.89,3房4廳2衛(含加蓋2廳),5樓/5樓,無車位,2380,43358S
陽明庭院景觀別墅,台北市士林區中庸五路,56.1年,別墅/透天,83.9,58.89,3房4廳5衛1室(含加蓋1廳3衛),B1-2樓/2樓,其他,9800,26370M
信義金雞母★北醫好好租,台北市信義區吳興街,39.1年,公寓,46.61,38.71,7房4廳4衛(含加蓋1房),1樓/5樓,無車位,3480,0736ZN
麗湖雅緻面公園電梯別墅,台北市內湖區民權東路六段,16.8年,別墅/透天,145.72,89.16,7房3廳7衛(含加蓋1房1衛),B1-5樓/5樓,兩個以上車位,11391,2095VF
３ＤＶＲ－四房電梯邊間,台北市萬華區西園路二段,36.7年,華廈,39.43,37.55,4房2廳2衛,3樓/7樓,無車位,2400,5639TD
南港遠雄宜進廠辦店面,台北市南港區成功路一段,1.9年,廠房,98.3,58.19,1廳,1樓/14樓,無車位,8500,0953XY
一樓門口可停車面寬六米民族東路412-...,台北市中山區龍江路,43.0年,公寓/店面,44.83,24.6,1房2廳1衛1室,B1-1樓/5樓,無車位,3186,3333JX
德行東路方正公寓,台北市士林區德行東路,45.0年,公寓,33.7,30.94,3房2廳1.5衛,4樓/5樓,無車位,2358,7722WV
北安路華廈裝潢２房,台北市中山區北安路,44.7年,華廈,21.6,21.32,2房1廳1衛,2樓/7樓,無車位,2380,2750KV
七段絕美綠意盎然,台北市士林區中山北路七段,41.9年,公寓,40.35,37.68,3房2廳2衛,3樓/5樓,無車位,2980,6931RN
青安置產優質採光頂加美寓,台北市萬華區長泰街,53.7年,公寓,32.1,32.1,5房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,無車位,1688,6415PZ
安東街面公園一樓,台北市大安區安東街,50.5年,公寓,35.61,21.6,3房2廳2衛2室(含加蓋1房2衛1室),1樓/4樓,無車位,6500,9845JJ
師大庭院一樓有車庫,台北市大安區龍泉街,53.3年,公寓,30.21,30.21,3房2廳3衛(含加蓋2衛),1樓/4樓,無車位,4480,0079QZ
紐約第五街挑高露臺戶,台北市信義區松隆路,29.0年,華廈,31.58,9.34,2房1廳1衛1室(含加蓋2房),3樓/10樓,坡道平面車位,2088,8594ML
微風華廈高樓方正採光通風,台北市中山區八德路二段,41.4年,華廈,51.66,40.04,3房2廳2衛1室,5樓/6樓,坡道機械車位,3788,0782UJ
士林發財起家厝,台北市士林區重慶北路四段,48.6年,公寓,31.69,31.69,3房3廳2衛(含加蓋1廳1衛),4樓/4樓,無車位,1750,3378DX
幸安金華東門捷運挑高信義路VISTA,台北市中正區信義路二段,17.0年,華廈,14.42,7.87,2房1廳1衛(含加蓋1房),3樓/7樓,無車位,2500,7084HB
信義安和通化黃金一樓,台北市大安區通化街,49.0年,公寓/店面,27.2,22.4,4房3廳4衛(含加蓋1房1廳2衛),1樓/4樓,無車位,5988,7758BC
萬隆捷運稀有公寓五房,台北市文山區萬隆街,44.2年,公寓,37.92,37.93,5房2廳2衛,4樓/5樓,無車位,2098,29857E
光復南路都更２樓,台北市松山區光復南路,59.4年,公寓,23.38,23.38,3房2廳1衛,2樓/4樓,無車位,3688,0545UN
新生後棟邊間高樓美屋,台北市中山區新生北路二段,40.6年,大樓,12.16,10.34,1房1廳1衛,8樓/12樓,無車位,1200,8095CD
㊣大馬路獨立透天,台北市內湖區內湖路二段,52.2年,透天,49.58,48.49,5房2廳3衛(含加蓋1房1廳2衛),1-2樓/2樓,無車位,11888,0100KU
紐約花園樓中樓大戶NY21紐約花園,台北市南港區三重路,13.7年,大樓,126.94,61.76,3房2廳5衛1室(含加蓋1房0.5衛),12-13樓/13樓,兩個以上車位,9968,9637WB
碧湖新境首層樓中樓,台北市內湖區環山路三段,35.2年,公寓,57.75,20.62,4房3廳2衛,B1-1樓/5樓,坡道平面車位,3180,1901KV
✿萬大近未來迦蚋站一樓✿,台北市萬華區萬大路,55.1年,公寓,19.64,17.58,2房2廳1衛(含加蓋1衛),1樓/4樓,無車位,1588,2182QN
北投溫泉公寓,台北市北投區溫泉路,36.7年,公寓,20.92,15.31,2房1廳1衛,4樓/5樓,無車位,738,6755ZU
天母國中學區美裝一樓羅馬儷園(63弄...,台北市士林區中山北路七段,40.9年,公寓,25.79,19.74,2房2廳1衛,1樓/5樓,無車位,3700,4694ZL
ＬＶ近松山捷運高樓LV288,台北市松山區八德路四段,18.9年,大樓/辦公,17.24,11.04,3房2廳1衛2室(含加蓋2房2室),8樓/13樓,無車位,2550,0921BC
敦北財經▶小巨蛋辦公,台北市松山區延吉街,34.5年,辦公,118.16,58.89,1廳7室(含加蓋2室),4樓/7樓,兩個以上車位,8900,9826KV
愛迪生高樓層,台北市內湖區內湖路一段,28.2年,辦公/廠房,90.55,46.13,5房1廳,7樓/8樓,兩個以上車位,5000,3026NH
通化街●收租寶,台北市大安區通化街,,土地,7.86,,5房1廳5衛(含加蓋5房1廳5衛),1-3樓/3樓,無車位,1680,73950A
【強案】明水樸園樓中樓明水樸園,台北市中山區明水路,19.5年,華廈,101.66,61.67,4房4廳2.5衛1室(含加蓋1廳),8-9樓/9樓,兩個以上車位,10688,7943WG
新生金華靜巷日光宅,台北市大安區青田街,44.6年,公寓,37.12,37.13,1房3廳2衛,5樓/5樓,無車位,4100,7500NY
信義世貿鋼骨純辦,台北市信義區松隆路,33.9年,辦公/大樓,129.73,82.49,2廳,5樓/19樓,兩個以上車位,9588,4624PC
稀有景華一層一戶黃金三樓,台北市文山區景華街,44.1年,公寓,43.31,36.74,3房2廳2衛,3樓/5樓,無車位,2880,0843RZ
專任石牌商城一樓,台北市北投區裕民六路,48.4年,公寓,24.58,20.24,2房2廳1衛,1樓/4樓,無車位,2800,7609UH
中正國中❤️華光特區店面,台北市大安區杭州南路二段,15.4年,店面,17.86,7.02,1廳1衛1室(含加蓋1室),1樓/11樓,無車位,2988,69877U
木柵金石稀有獨棟透天金石山莊,台北市文山區秀明路一段,34.7年,透天,120.56,86.83,6房4廳4.5衛1室(含加蓋0.5衛),B1-3樓/3樓,一樓平面車位,6388,08056F
民和萬大ＯＮＥ金店面,台北市萬華區民和街,6.9年,店面/辦公/大樓,20.58,13.89,1廳1衛,1樓/13樓,無車位,1880,45903D
城市ＤＪ公園旁挑高大空間城市DJ,台北市內湖區民權東路六段,20.0年,辦公,30.38,19.13,3房1廳1衛(含加蓋2房),2樓/10樓,無車位,2650,2840FK
東區高樓小資美廈,台北市大安區市民大道四段,38.3年,華廈,11.61,8.25,1房1廳1衛,7樓/7樓,無車位,1560,2029QH
地熱谷大空間,台北市北投區中山路,43.8年,店面,43.39,38.08,15房1廳2衛,-2樓/8樓,無車位,3280,4549NG
北醫人潮金店★吳興商圈基泰世貿,台北市信義區吳興街,11.2年,店面/辦公/大樓,28.66,11.88,2廳2衛1室(含加蓋1廳1衛1室),1樓/11樓,無車位,2750,5830SF
華山藝文特區稀有電梯透天力福龍璽,台北市中正區杭州南路一段,33.4年,透天,330.15,133.17,13房3廳6衛6室(含加蓋2房1衛6室),B2-4樓/4樓,兩個以上車位,18000,6294SJ
正景！東昇景觀別墅,台北市北投區東昇路,31.8年,別墅/透天,111.72,98.61,8房3廳5衛3室(含加蓋1房1衛),1-2樓/2樓,無車位,9800,5154XB
健康學區靜巷邊間美寓,台北市松山區三民路,52.8年,公寓,32.85,32.84,3房2廳1衛,2樓/4樓,無車位,2750,7702FB
信義安和邊間三房,台北市大安區文昌街,41.9年,公寓,31.77,30.34,3房2廳1衛,4樓/5樓,無車位,2958,0925DW
天母三越靜巷一樓美店,台北市士林區天母東路,43.8年,店面/華廈,30.84,22.7,1廳1衛,1樓/7樓,無車位,3488,5339FX
捷運挑高電梯三房採光佳,台北市萬華區西園路一段,18.4年,大樓,28.66,20.5,3房2廳2衛1室(含加蓋2房),9樓/13樓,無車位,2160,4087AP
南京東路大面寬金店面,台北市松山區南京東路五段,43.9年,店面/辦公/大樓,66.54,37.77,2廳2衛1室(含加蓋1室),1樓/12樓,無車位,9998,46886M
捷運方正美寓,台北市信義區永吉路,56.8年,公寓,29.42,29.42,3房3廳3衛,3樓/4樓,無車位,2850,3367HF
鑫鼎雅筑,台北市士林區天母東路,0.8年,華廈,27.33,15.46,2房2廳2衛,5樓/5樓,無車位,3758,1245GY
近雙連站兩房大衛浴美屋,台北市中山區中山北路二段,48.1年,大樓,9.35,9.35,2房1廳1衛,8樓/11樓,無車位,1138,0339AF
市中心精華金店辦,台北市中山區新生北路二段,49.2年,店面/辦公,31.71,19.41,1廳1衛,1樓/7樓,無車位,2688,2781XR
明水路稀有高樓露臺戶英格蘭世家A.B...,台北市中山區明水路,33.9年,華廈,119.32,68.42,4房2廳2衛1室,9-10樓/10樓,兩個以上車位,8800,8493UC
信松廣場１０１景觀豪邸２,台北市信義區松隆路,0.8年,大樓,31.18,13.34,2房1廳1衛,19樓/22樓,坡道平面車位,3468,3362FK
內科邊間辦公,台北市內湖區內湖路一段,28.2年,辦公/廠房,101.95,48.57,1廳5室,2樓/8樓,兩個以上車位,5678,7581JL
面中山北路邊間辦公,台北市中山區中山北路三段,47.7年,辦公/大樓,44.38,35.88,3房1廳,7樓/14樓,無車位,3500,3682HG
♚華山名鑄帝王頂樓戶,台北市中山區長安東路一段,6.6年,華廈,72.05,31.19,3房2廳3衛1室,5樓/5樓,升降平面車位,6800,1990AA
【ＶＲ】國花山莊獨門宅院,台北市文山區辛亥路四段,44.8年,透天,52.34,47.75,5房3廳5衛(含加蓋1房1廳1衛),1-2樓/2樓,一樓平面車位,3268,7366HB
永春國際館高樓景觀採光棒,台北市信義區忠孝東路五段,20.0年,其它,26.92,9.61,1房1廳1衛1室(含加蓋1房1室),11樓/11樓,坡道平面車位,2888,8452NW
百樂大廈附中朝南,台北市大安區信義路三段,57.5年,華廈,59.08,57.11,3房2廳2衛2室(含加蓋1室),4樓/5樓,無車位,9926,1477BX
未來捷運廣慈三樓美寓,台北市南港區福德街,49.3年,公寓,25.09,25.09,3房2廳1.5衛,3樓/4樓,無車位,2090,8634UW
★珍稀三樓美宅★,台北市中山區北安路,47.3年,公寓,43.11,43.11,3房2廳2衛1室,3樓/5樓,無車位,3800,1177BV
（大）宏普名人居精緻美邸宏普名人居,台北市信義區富陽街,14.8年,華廈,61.92,35.89,2房2廳2衛,4樓/7樓,塔式車位,5888,69749H
忠孝延吉靜巷捷運電梯３樓,台北市大安區延吉街,47.2年,華廈,28.05,23.66,2房2廳1衛,3樓/7樓,無車位,2860,73042Q
山景‧朝南寬面２房,台北市北投區新民路,12.4年,華廈,19.24,11.12,2房1廳1衛,2樓/5樓,無車位,1380,82570A
大安晶采庭院Ａ＋大安晶采,台北市大安區大安路一段,25.8年,華廈/辦公,49.03,21.27,4房2廳2衛5室(含加蓋2房2衛4室),1樓/9樓,兩個以上車位,7990,58797B
麗園．愜意庭園生活文湖園,台北市內湖區文湖街,31.9年,華廈,93.99,27.8,5房4廳3衛1室,B1-1樓/7樓,兩個以上車位,5680,1060YY
瑞安懷石氣派大戶瑞安懷石B區,台北市大安區瑞安街,16.6年,華廈,104.75,58.75,4房2廳3衛2室,2樓/10樓,坡道平面車位,15000,1721CC
大直水岸第一排２４樓,台北市中山區明水路,預售,大樓,59.78,25.93,1廳,24樓/25樓,兩個以上車位,9500,2489KR
市府艾蜜麗挑高質感美邸,台北市信義區永吉路,7.9年,華廈,17.32,8.4,2房1廳1衛(含加蓋2房),2樓/8樓,無車位,2088,5645GQ
店長推薦公園景觀高樓好棒,台北市萬華區大理街,10.0年,大樓,29.06,17.96,2房2廳2衛(含加蓋1房1衛),9樓/14樓,無車位,2998,8705CU
古亭金店辦ＳＲＣ,台北市中正區汀州路二段,23.7年,店面/辦公,38.87,20.37,2房1廳1.5衛4室(含加蓋1廳),1樓/7樓,無車位,5688,3322KW
奇岩鳥語花香奇岩電梯,台北市北投區公館路,34.2年,華廈,44.96,37.55,3房3廳3衛2室(含加蓋1廳1衛2室),5樓/5樓,無車位,3588,4166XC
大安樸墅．面公園景觀美邸,台北市大安區新生南路一段,13.5年,華廈,36.49,16.44,2房2廳2衛(含加蓋1房1衛),4樓/7樓,無車位,5980,3001QT
自慢藏河岸綠邸四房車位,台北市文山區汀州路四段,2.5年,大樓,70.64,40.57,4房2廳3衛,18樓/22樓,坡道平面車位,6593,5255QH
儷苑河岸景觀小品,台北市松山區塔悠路,32.0年,華廈,14.24,9.82,2房2廳1衛1室(含加蓋1房1室),4樓/4樓,無車位,1488,2692TY
大合江公園捷運２房車位,台北市中山區合江街,7.4年,大樓,30.06,9.38,2房2廳1衛(含加蓋2房),3樓/11樓,塔式車位,2980,1449CN
御陽明－滿滿芬多精御陽明,台北市士林區格致路,12.5年,華廈,185.04,96.93,2廳2室,1樓/4樓,兩個以上車位,10800,5637SQ
後棟景觀信義國際兩房車位,台北市信義區基隆路一段,11.9年,大樓,29.49,15.51,3房2廳2衛(含加蓋1房),10樓/13樓,坡道平面車位,2980,6984WG
五福臨門華廈大空間,台北市文山區景福街,54.8年,華廈,61.76,61.76,5房2廳2衛,3樓/6樓,無車位,4288,5277VY
超站Ｓ豪景四房車位超站S,台北市大同區民權西路,6.3年,大樓,90.63,55.2,4房2廳3衛,17樓/19樓,兩個以上車位,8880,6952FD
博愛路採光佳三角金,台北市中正區博愛路,34.4年,辦公/大樓,42.58,33.57,1廳1衛,6樓/13樓,無車位,4980,5681NJ
森大直Ｃ４,台北市內湖區文湖街,7.8年,華廈,31.87,16.49,1廳1衛,4樓/10樓,塔式車位,2550,2485FM
森大直Ｄ４,台北市內湖區文湖街,7.8年,華廈,38.75,18.75,1廳1衛,4樓/10樓,塔式車位,2988,8703JS
強案！榮華特區捷運大戶,台北市北投區榮華三路,35.9年,華廈,67.53,45.03,4房2廳3衛2室(含加蓋1室),4-5樓/5樓,無車位,5280,7397JL
伊通鼎苑高樓景觀美宅,台北市中山區伊通街,7.5年,華廈,31.42,11.67,1房2廳1衛(含加蓋1房),8樓/9樓,塔式車位,3380,9880LP
新生金華小威廉高樓景觀戶,台北市大安區新生南路二段,17.8年,華廈/辦公,13.23,6.51,1房1廳1衛(含加蓋1房),8樓/8樓,無車位,2350,3121QP
【店長推薦】太原美寓,台北市大同區太原路,41.8年,公寓,26.83,26.84,3房2廳1衛,3樓/5樓,無車位,2200,9392CD
景美河畔豪景頂峰樓中樓,台北市文山區樟新街,34.3年,華廈/其它,64.16,42.24,6房2廳3衛(含加蓋1房1衛),8-9樓/9樓,升降平面車位,3750,1608GS
超強地段捷運出口辦公,台北市大安區信義路四段,37.0年,辦公/大樓,97.04,81.51,2廳,10樓/12樓,無車位,12000,2887ML
文湖采邑稀有釋出文湖采邑,台北市內湖區文湖街,31.2年,華廈,33.32,26.09,4房4衛,4樓/9樓,無車位,2788,8739HV
可看屋！民生公寓稀有釋出,台北市松山區民生東路四段,52.2年,公寓,41.27,41.27,4房2廳2衛,4樓/4樓,無車位,3880,8078JM
昌吉方正黃金三樓,台北市大同區昌吉街,48.2年,公寓,23.78,23.78,3房2廳1衛,3樓/5樓,無車位,1798,8621MS
台北藝術中心店辦,台北市士林區劍潭路,41.5年,店面,33.63,21.35,1廳1衛,1樓/7樓,無車位,3888,9879AA
復興科技捷運美寓,台北市大安區復興南路二段,50.7年,公寓,32.64,32.63,4房1廳2衛1室,2樓/4樓,無車位,3980,6813NV
森大直庭院戶,台北市內湖區文湖街,7.8年,華廈,30.98,16.69,1廳1衛,1樓/10樓,塔式車位,3300,75732C
獨棟豪邸三層大戶新裝潢,台北市文山區汀州路四段,33.7年,華廈/店面,172.35,37.22,11房6廳6衛,B2-1樓/6樓,無車位,8800,6717DP
近家樂福安靜大空間,台北市北投區杏林三路,45.8年,公寓,61.58,32.96,3房2廳2衛1室,B1-1樓/5樓,無車位,2388,9429FQ
群林鴻陽大廈,台北市大安區和平東路三段,37.7年,大樓,47.16,42.84,2房2廳2衛1室,6樓/12樓,無車位,4488,4430JQ
朗朗台大金店面Ａ,台北市大安區新生南路三段,1.2年,店面,21.39,14.24,1廳1衛,1樓/12樓,無車位,4710,5925PS
朗朗台大金店面Ｂ,台北市大安區新生南路三段,1.2年,店面,21.05,14.01,1廳1衛,1樓/12樓,無車位,4640,73570C
中正大觀花園豪邸中正大觀,台北市中正區南昌路一段,15.6年,大樓,69.51,24.47,5房3廳3衛(含加蓋2房1廳1衛),18樓/18樓,兩個以上車位,8500,50969S
你出價我來談,台北市士林區仰德大道一段,8.7年,別墅/透天,135.27,102.02,5房2廳6衛,B1-2樓/2樓,一樓平面車位,16800,36773F
星雲壹樓４房大樓＋車位大湖公園家,台北市內湖區星雲街,29.9年,大樓,53.83,11.95,4房3廳3衛,B1-1樓/16樓,坡道平面車位,2988,5537FW
龍門附小公園旁４房華廈晨園華廈,台北市大安區和平東路二段,45.3年,華廈,43.65,39.22,4房2廳2衛,6樓/7樓,無車位,4200,9140ZL
【ＶＲ】敦南好境靜巷雅築玫瑰社區,台北市文山區興德路,47.2年,公寓,26,26,4房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,無車位,1788,9558WT
【翠堤名門】庭院車庫透天名門翠堤,台北市文山區和平東路四段,44.0年,別墅/透天,67.57,39.5,5房2廳3衛,B1-2樓/2樓,其他,3380,2901UJ
（大）古亭稀有電梯樓中樓,台北市中正區南昌路二段,28.8年,華廈,32.73,17.9,3房1廳3衛1室(含加蓋1房1衛),3-4樓/8樓,升降機械車位,3680,9866JF
大安區低總價２＋１美寓,台北市大安區通化街,47.3年,公寓,18.24,18.24,3房1廳2衛(含加蓋1房),2樓/5樓,無車位,1980,1168LT
中山北路鐫豊店王,台北市中山區中山北路一段,1.9年,店面/大樓,52.38,41.06,2廳2衛,1-2樓/23樓,無車位,12000,1978TY
２４小時管理至誠透天,台北市士林區至誠路一段,56.7年,別墅/透天,45.06,45.06,3房3廳3衛2室(含加蓋1廳),1-2樓/2樓,無車位,10800,1585CQ
圓山藏富電梯美景戶,台北市士林區文林路,3.7年,辦公,50.51,17.6,2廳2衛,5樓/5樓,升降平面車位,3380,5872NP
大湖捷運全新裝潢邊間別墅,台北市內湖區大湖街,35.0年,別墅/透天,114.96,48.36,6房3廳4衛3室(含加蓋2室),B1-3樓/3樓,坡道平面車位,8500,4045CN
忠誠第一社區稀有透天,台北市士林區忠誠路一段,57.1年,透天,51.12,51.12,6房3廳4衛2室(含加蓋3房1衛),1-2樓/2樓,無車位,26000,9146WY
文湖庭院值得珍藏,台北市內湖區文湖街,45.0年,公寓,30.06,25.54,3房2廳1衛1室,1樓/4樓,無車位,2080,7097VC
森大直Ｄ３,台北市內湖區文湖街,7.8年,華廈,38.75,18.75,1廳1衛,3樓/10樓,塔式車位,2988,4365TG
士東市場旁低總價電梯美廈,台北市士林區士東路,31.2年,華廈,10.25,6.81,2房1廳1衛,2樓/6樓,無車位,1198,2308FK
長春路上的吉生大樓！長順大樓(吉生大...,台北市中山區長春路,31.2年,大樓,19.64,10.36,1房1廳1衛,11樓/12樓,無車位,1888,1391CX
大直逸境大空間一樓大直逸境,台北市中山區北安路,32.6年,華廈,78.59,20.99,5房3廳5衛,B1-1樓/6樓,升降平面車位,4988,2131UR
芝山國小邊間樹海,台北市士林區德行東路,42.4年,公寓,36.88,36.12,3房2廳2衛,5樓/5樓,無車位,2300,1394NK
內湖瑞光路廠辦ＳＭＡＲＴ,台北市內湖區瑞光路,26.2年,辦公,75.95,47.81,1廳3室,6樓/8樓,坡道平面車位,3770,8886KV
稀有米蘭國際辦公廠房高樓,台北市內湖區內湖路一段,16.6年,廠房,139.08,58.38,1廳,7樓/8樓,兩個以上車位,7999,6500WL
☆世界新城◇西湖捷運美屋,台北市內湖區內湖路一段,42.5年,公寓,27.79,24.63,5房4廳5衛1室(含加蓋2房2廳2衛),5樓/5樓,無車位,1888,7354KT
【東區安和路】適診所金店,台北市大安區安和路一段,49.0年,店面,20.47,15.51,1廳1衛1室,1樓/7樓,無車位,6888,7139XQ
近未來萬大捷運青年公園宅,台北市萬華區萬大路,55.6年,公寓,20.03,20.03,2房1廳1衛,4樓/4樓,無車位,1480,3557LX
復北長春馬路金店,台北市中山區長春路,32.6年,店面,51.27,30.55,1房2廳1衛(含加蓋1房1衛),1-2樓/11樓,坡道平面車位,5280,39388Q
昇中山稀有樓中樓孝親戶,台北市中山區中山北路二段,2.6年,大樓,51.67,26.27,1房2廳2衛,10-11樓/13樓,其他,5300,8854RP
前後門輕鬆停車公寓一樓,台北市文山區忠順街一段,46.1年,公寓,30.75,27.21,3房2廳1.5衛,1樓/5樓,無車位,2688,9616JS
【建南大廈】方正電梯高樓,台北市中山區德惠街,47.6年,華廈,9.73,7.84,1房1廳1衛,8樓/10樓,無車位,925,0303UN
忠孝新生❘氣派大戶辦公美樂工商大樓,台北市中正區忠孝東路二段,52.6年,辦公/大樓,71.16,57.92,2廳3室,3樓/11樓,無車位,9180,7796AP
♚敦化學區住家有地下室,台北市松山區八德路三段,41.0年,華廈,81.25,24.95,5房4廳3衛(含加蓋1廳),B1-1樓/7樓,無車位,4588,8994KC
南海１號苑方正兩房車位,台北市中正區南海路,0.7年,華廈,37.19,15.98,2房2廳1衛,2樓/7樓,塔式車位,3388,8272PG
森大直Ｃ５,台北市內湖區文湖街,7.8年,華廈,31.87,16.49,1廳1衛,5樓/10樓,塔式車位,2550,79419Y
《錢進士林》超值透天店面,台北市士林區大南路,54.1年,店面,49.43,42.82,5房4廳5衛2室(含加蓋3房1廳5衛2室),1-2樓/2樓,無車位,12000,34615E
森林公園一樓,台北市大安區新生南路一段,43.8年,公寓,27.43,20.46,3房2廳1衛,1樓/5樓,無車位,3988,2250PZ
私房山景百坪大電梯別墅,台北市內湖區康寧路三段,35.5年,別墅/透天,171.41,75.35,4房4廳7衛1室,B2-4樓/4樓,其他,13000,9505HG
近麗山國小公寓一樓,台北市內湖區環山路二段,44.1年,公寓,24.88,21.86,3房2廳1衛,1樓/4樓,無車位,2468,1882JH
莊敬路近信義計劃區金店,台北市信義區莊敬路,39.1年,店面/辦公,26.47,12.58,5廳1衛(含加蓋3廳),1樓/7樓,無車位,2500,5755TG
【新接】崇德電梯Ｂ,台北市信義區崇德街,36.9年,華廈,38.92,33.02,2房1廳1衛1室,7樓/7樓,無車位,3269,00736H
【主推】捷運板南線美寓,台北市南港區玉成街,40.3年,公寓,31.55,28.96,4房3廳1衛(含加蓋1房1廳),5樓/5樓,無車位,2500,7728DZ
後山埤捷運邊間凱悅精品信義凱悅,台北市信義區忠孝東路五段,18.8年,大樓/辦公,15.29,9.4,1房1廳1衛1室(含加蓋1室),3樓/13樓,無車位,1938,8153WF
經典威靈頓山莊,台北市北投區崇仰一路,59.0年,別墅/透天,81.4,68.73,6房6廳5衛2室(含加蓋3房3廳3衛2室),1-2樓/2樓,其他,15666,7308ZP
近捷運●稀有大空間一樓戶,台北市信義區和平東路三段,48.6年,公寓,22.53,19.81,3房2廳1衛(含加蓋1房),1樓/4樓,無車位,2688,3168NY
忠孝新生❘樹海美景辦公美樂工商大樓,台北市中正區忠孝東路二段,52.6年,辦公/大樓,38.06,31.44,1廳3室,3樓/11樓,無車位,4910,7655VV
東區面寬旗艦金店,台北市大安區仁愛路四段,47.6年,店面/辦公,173.18,46.05,3廳2衛4室,B1-1樓/7樓,無車位,14888,8239SZ
