標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
蓮池潭高樓景觀舒適宅水沐蓮華,高雄市左營區左營下路,10.8年,大樓,61.26,30.1,2房2廳2衛,11樓/13樓,坡道平面車位,1,0332MD,2025-10-01 15:19:40
專．前鎮高樓公園三房平車鳳凰嘉鄰,高雄市前鎮區嘉陵街,20.9年,大樓,43.53,26.42,3房2廳2衛,13樓/13樓,坡道平面車位,1,5104ML,2025-10-01 15:19:40
近Ｒ１５捷運站三房附平車保時捷,高雄市左營區華夏路,19.3年,大樓,45.05,24.71,3房2廳2衛,6樓/15樓,坡道平面車位,1,8026UH,2025-10-01 15:19:40
⭐新案堅山美裝潢三房平車,高雄市仁武區勇全路,2.5年,大樓,56.92,30.65,3房2廳2衛,3樓/24樓,坡道平面車位,1,8648TG,2025-10-01 15:19:40
亞灣．三發精美２＋１平車三發晶沙,高雄市前鎮區光華二路,8.3年,大樓,36.03,20.43,2房2廳1衛1室,5樓/18樓,坡道平面車位,1,6570XF,2025-10-01 15:19:40
愛情海觀山三房採光美邸戀戀愛情海,高雄市左營區海明街,18.2年,大樓,40.12,26.14,3房2廳2衛,9樓/15樓,無車位,998,4263JP,2025-10-01 15:19:49
康橋高樓成家四房平車ABC康橋大廈,高雄市苓雅區正言路,36.0年,大樓,63.56,43.33,4房2廳2衛,14樓/16樓,坡道平面車位,1,3195WM,2025-10-01 15:19:49
美麗島．新興南華商四透店,高雄市新興區南華路,74.5年,店面/透天,45.05,42.07,2廳2衛,1-2樓/2樓,無車位,1,5521TV,2025-10-01 15:19:49
雙城匯首排高樓景三房平車雙城匯,高雄市鼓山區美術東四路,11.6年,大樓,89.56,52.65,3房2廳3衛,22樓/24樓,坡道平面車位,3,9920UX,2025-10-01 15:19:49
文山美大２房２衛附平車,高雄市鳳山區北賢街,3.7年,大樓,39.98,20.02,2房2廳2衛,7樓/15樓,坡道平面車位,1,6666TY,2025-10-01 15:19:49
河景夢萊茵三房平移車位夢萊茵,高雄市前金區河東路,29.6年,大樓,56.98,36.69,3房2廳2衛,25樓/35樓,坡道機械車位,1,23920M,2025-10-01 15:19:49
楠梓成家小資二房四季CEO,高雄市楠梓區藍昌路,10.4年,大樓,25.74,16.71,2房2廳1衛,5樓/15樓,無車位,858,2705SS,2025-10-01 15:19:49
高ＣＰ值幸福成家２房車位心夢享,高雄市前鎮區景德路,8.6年,華廈,25.65,13.67,2房1廳1衛,7樓/9樓,升降機械車位,898,0048AD,2025-10-01 15:19:49
成家立業首選兩房平車28行館,高雄市仁武區京吉五路,7.9年,大樓,36.66,19.11,2房1廳1衛,8樓/15樓,坡道平面車位,1,9176HU,2025-10-01 15:19:49
樹禾苑！公園首排三房平車樹禾苑,高雄市三民區美都路,2.2年,大樓,39.74,19.89,3房2廳1衛,3樓/24樓,坡道平面車位,1,9455JT,2025-10-01 15:19:49
近三民街精華地段２Ｆ公寓,高雄市三民區中庸街,47.3年,公寓,20.23,20.23,3房2廳1衛,2樓/5樓,無車位,598,0718AV,2025-10-01 15:19:49
近衛武營高樓景觀便宜三房聯協南京,高雄市鳳山區南京路,32.9年,大樓,34.07,27.15,3房2廳2衛,11樓/13樓,無車位,698,3641VF,2025-10-01 15:19:49
天峰。裝潢高樓雙平車豪邸京城天峰,高雄市左營區大順一路,10.1年,大樓,126.09,67.89,5房2廳4衛,14樓/28樓,兩個以上車位,5,2839FS,2025-10-01 15:19:49
巨蛋博愛高樓景觀．附車位博愛,高雄市左營區博愛二路,27.6年,大樓,27.1,17.22,1房1廳1衛,26樓/26樓,坡道機械車位,888,1518LQ,2025-10-01 15:19:49
【摩登國城】連假歡迎賞屋摩登國城,高雄市鼓山區龍勝路,19.2年,大樓,27.65,16.08,2房1廳1衛,11樓/15樓,坡道機械車位,1,9041HU,2025-10-01 15:19:49
決心處理福懋精裝三房車位,高雄市楠梓區加昌路,0.9年,大樓,42.09,25.26,3房2廳2衛,4樓/29樓,坡道機械車位,1,4160UW,2025-10-01 15:19:49
遠見美景｜樓中樓｜雙平車遠見美景,高雄市左營區保靖街,30.8年,大樓,127.85,81.92,5房3廳4衛2室,20-21樓/21樓,兩個以上車位,2,2609XQ,2025-10-01 15:19:49
近巨蛋時代富豪大樓雙拼戶時代富豪優生企業...,高雄市左營區正心街,26.2年,大樓,107.02,73.48,6房2廳3衛,3樓/29樓,坡道平面車位,3,6884QF,2025-10-01 15:19:49
河堤景觀輕屋齡三房平車康朋街,高雄市三民區民族一路,9.8年,大樓,51.38,23.59,3房2廳2衛,15樓/15樓,坡道平面車位,1,1324FZ,2025-10-01 15:19:49
校園首排三面採光四房平車校園芳鄰(公正路...,高雄市前鎮區公正路,25.9年,華廈,45.29,29.99,4房2廳2衛,9樓/9樓,坡道平面車位,1,0176QD,2025-10-01 15:19:49
”博愛天下”四房平車博愛天下,高雄市左營區博愛二路,25.8年,大樓,49.19,31.37,4房2廳2衛,10樓/28樓,坡道平面車位,1,2060TG,2025-10-01 15:19:56
【王牌大樓】四房車位露臺王牌大樓,高雄市楠梓區樂群路,30.3年,大樓,51.38,34.37,4房2廳2衛,3樓/17樓,坡道機械車位,1,0712FF,2025-10-01 15:19:56
★匯視界高樓層二房車位,高雄市三民區九如二路,1.7年,大樓,33.49,18.51,2房2廳2衛,13樓/15樓,坡道機械車位,1,5733XV,2025-10-01 15:19:56
領賢高樓｜豪邸三房三平車領賢,高雄市新興區七賢一路,15.8年,大樓,100.34,53.11,3房2廳3衛2室,12樓/15樓,兩個以上車位,3,7982KX,2025-10-01 15:19:56
全新未住三房平車捷運宅Ｂ,高雄市楠梓區金富街,0.3年,大樓,42.42,23.08,3房2廳2衛,13樓/15樓,坡道平面車位,1,2889YD,2025-10-01 15:19:56
全新未住三房平車捷運宅Ｃ,高雄市楠梓區金富街,0.3年,大樓,42.98,23.42,3房2廳2衛,4樓/15樓,坡道平面車位,1,0168VP,2025-10-01 15:19:56
