113,,112,,111,,110,,109,,108,,107,,106,,105,,104,,103,,102,,101,
區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 
　大同區　,"118,992",　大同區　,"119,930",　大同區　,"118,833",　大同區　,"120,772",　大同區　,"123,849",　大同區　,"126,043",　大同區　,"127,625",　大同區　,"129,278",　大同區　,"130,071",　大同區　,"130,929",　大同區　,"130,973",　大同區　,"129,820",　大同區　,"128,809"
　萬華區　,"171,915",　萬華區　,"173,652",　萬華區　,"173,040",　萬華區　,"176,617",　萬華區　,"183,088",　萬華區　,"187,076",　萬華區　,"189,603",　萬華區　,"191,850",　萬華區　,"193,539",　萬華區　,"194,339",　萬華區　,"194,715",　萬華區　,"193,480",　萬華區　,"192,628"
　文山區　,"258,333",　文山區　,"260,313",　文山區　,"257,558",　文山區　,"261,576",　文山區　,"268,130",　文山區　,"271,806",　文山區　,"273,762",　文山區　,"274,424",　文山區　,"275,231",　文山區　,"275,367",　文山區　,"273,921",　文山區　,"271,341",　文山區　,"269,310"
　南港區　,"112,643",　南港區　,"113,959",　南港區　,"113,798",　南港區　,"115,780",　南港區　,"118,758",　南港區　,"120,297",　南港區　,"121,670",　南港區　,"122,155",　南港區　,"122,516",　南港區　,"122,245",　南港區　,"121,257",　南港區　,"119,752",　南港區　,"118,490"
　內湖區　,"273,748",　內湖區　,"276,180",　內湖區　,"272,963",　內湖區　,"276,707",　內湖區　,"282,525",　內湖區　,"285,795",　內湖區　,"287,429",　內湖區　,"287,771",　內湖區　,"287,733",　內湖區　,"287,566",　內湖區　,"285,767",　內湖區　,"282,842",　內湖區　,"280,025"
　士林區　,"264,194",　士林區　,"266,951",　士林區　,"264,716",　士林區　,"269,682",　士林區　,"278,451",　士林區　,"283,459",　士林區　,"286,544",　士林區　,"288,295",　士林區　,"289,939",　士林區　,"290,694",　士林區　,"290,455",　士林區　,"289,742",　士林區　,"288,894"
　北投區　,"240,623",　北投區　,"242,510",　北投區　,"240,725",　北投區　,"244,750",　北投區　,"250,144",　北投區　,"253,319",　北投區　,"255,532",　北投區　,"256,456",　北投區　,"257,370",　北投區　,"257,862",　北投區　,"257,520",　北投區　,"255,444",　北投區　,"254,192"
桃  園  市　,"2,338,648",桃  園  市　,"2,317,445",桃  園  市　,"2,281,464",桃  園  市　,"2,272,391",桃  園  市　,"2,268,807",桃  園  市　,"2,249,037",桃  園  市　,"2,220,872",桃  園  市　,"2,188,017",桃  園  市　,"2,147,763",桃  園  市　,"2,105,780",桃  園  市　,"2,058,328",臺  中  市　,"2,701,661",臺  中  市　,"2,684,893"
　桃園區　,"475,798",　桃園區　,"470,683",　桃園區　,"462,338",　桃園區　,"458,847",　桃園區　,"457,245",　桃園區　,"452,824",　桃園區　,"447,302",　桃園區　,"440,840",　桃園區　,"434,243",　桃園區　,"427,145",　桃園區　,"417,366",　中　區　,"20,008",　中　區　,"20,647"
　中壢區　,"435,050",　中壢區　,"431,255",　中壢區　,"423,722",　中壢區　,"422,529",　中壢區　,"422,471",　中壢區　,"417,380",　中壢區　,"412,063",　中壢區　,"405,216",　中壢區　,"396,453",　中壢區　,"389,782",　中壢區　,"381,449",　東　區　,"74,572",　東　區　,"74,282"
    大溪區,"94,404",    大溪區,"94,607",    大溪區,"94,313",    大溪區,"94,870",    大溪區,"95,664",    大溪區,"95,550",    大溪區,"94,885",    大溪區,"94,451",    大溪區,"94,102",    大溪區,"93,343",    大溪區,"91,887",　南　區　,"118,349",　南　區　,"116,807"
    楊梅區,"181,526",    楊梅區,"180,032",    楊梅區,"177,602",    楊梅區,"176,757",    楊梅區,"175,142",    楊梅區,"173,049",    楊梅區,"170,380",    楊梅區,"167,639",    楊梅區,"163,959",    楊梅區,"161,098",    楊梅區,"157,200",　西　區　,"116,397",　西　區　,"116,784"
　蘆竹區　,"169,936",　蘆竹區　,"169,237",　蘆竹區　,"167,205",　蘆竹區　,"166,394",　蘆竹區　,"167,060",　蘆竹區　,"166,406",　蘆竹區　,"164,384",　蘆竹區　,"161,912",　蘆竹區　,"158,802",　蘆竹區　,"155,403",　蘆竹區　,"151,354",　北　區　,"147,880",　北　區　,"147,798"
　大園區　,"88,166",　大園區　,"86,634",　大園區　,"85,991",　大園區　,"92,172",　大園區　,"93,887",　大園區　,"93,078",　大園區　,"90,888",　大園區　,"89,281",　大園區　,"87,158",　大園區　,"85,565",　大園區　,"84,531",　西屯區　,"215,485",　西屯區　,"212,750"
　龜山區　,"183,895",　龜山區　,"178,297",　龜山區　,"172,274",　龜山區　,"166,767",　龜山區　,"164,398",　龜山區　,"162,921",　龜山區　,"160,591",　龜山區　,"157,633",　龜山區　,"152,817",　龜山區　,"145,580",　龜山區　,"141,998",　南屯區　,"159,952",　南屯區　,"158,300"
　八德區　,"214,690",　八德區　,"213,403",　八德區　,"209,952",　八德區　,"209,665",　八德區　,"209,202",　八德區　,"205,974",　八德區　,"202,198",　八德區　,"198,074",　八德區　,"192,922",　八德區　,"187,420",　八德區　,"181,431",　北屯區　,"255,978",　北屯區　,"252,668"
　龍潭區　,"127,270",　龍潭區　,"126,603",　龍潭區　,"124,973",　龍潭區　,"124,442",　龍潭區　,"124,408",　龍潭區　,"124,031",　龍潭區　,"123,175",　龍潭區　,"121,822",　龍潭區　,"120,201",　龍潭區　,"118,433",　龍潭區　,"116,211",　豐原區　,"166,090",　豐原區　,"166,085"
　平鎮區　,"229,389",　平鎮區　,"229,686",　平鎮區　,"227,810",　平鎮區　,"228,203",　平鎮區　,"228,611",　平鎮區　,"228,436",　平鎮區　,"226,412",　平鎮區　,"224,219",　平鎮區　,"221,587",　平鎮區　,"217,887",　平鎮區　,"212,328",　東勢區　,"51,953",　東勢區　,"52,403"
　新屋區　,"49,389",　新屋區　,"49,277",　新屋區　,"49,205",　新屋區　,"49,094",　新屋區　,"49,333",　新屋區　,"49,256",　新屋區　,"49,210",　新屋區　,"48,953",　新屋區　,"48,772",　新屋區　,"48,409",　新屋區　,"48,058",　大甲區　,"77,847",　大甲區　,"77,986"
　觀音區　,"75,874",　觀音區　,"74,521",　觀音區　,"73,026",　觀音區　,"69,995",　觀音區　,"69,032",　觀音區　,"67,956",　觀音區　,"67,358",　觀音區　,"66,472",　觀音區　,"65,555",　觀音區　,"64,785",　觀音區　,"63,602",　清水區　,"86,061",　清水區　,"85,734"
※復興區　,"13,261",※復興區　,"13,210",※復興區　,"13,053",※復興區　,"12,656",※復興區　,"12,354",※復興區　,"12,176",※復興區　,"12,026",※復興區　,"11,505",※復興區　,"11,192",※復興區　,"10,930",※復興區　,"10,913",　沙鹿區　,"86,305",　沙鹿區　,"84,797"
臺  中  市　,"2,860,601",臺  中  市　,"2,845,909",臺  中  市　,"2,814,459",臺  中  市　,"2,813,490",臺  中  市　,"2,820,787",臺  中  市　,"2,815,261",臺  中  市　,"2,803,894",臺  中  市　,"2,787,070",臺  中  市　,"2,767,239",臺  中  市　,"2,744,445",臺  中  市　,"2,719,835",　梧棲區　,"56,008",　梧棲區　,"55,857"
　中　區　,"17,904",　中　區　,"17,784",　中　區　,"17,635",　中　區　,"17,689",　中　區　,"18,168",　中　區　,"18,390",　中　區　,"18,514",　中　區　,"18,450",　中　區　,"18,708",　中　區　,"19,020",　中　區　,"19,323",　后里區　,"54,076",　后里區　,"54,089"
　東　區　,"77,688",　東　區　,"76,852",　東　區　,"75,554",　東　區　,"75,588",　東　區　,"75,913",　東　區　,"75,943",　東　區　,"76,175",　東　區　,"75,811",　東　區　,"75,396",　東　區　,"75,182",　東　區　,"74,922",　神岡區　,"64,899",　神岡區　,"64,534"
　南　區　,"127,188",　南　區　,"126,907",　南　區　,"125,466",　南　區　,"126,008",　南　區　,"126,769",　南　區　,"126,571",　南　區　,"125,874",　南　區　,"125,067",　南　區　,"123,502",　南　區　,"121,786",　南　區　,"120,128",　潭子區　,"104,471",　潭子區　,"103,516"
　西　區　,"113,890",　西　區　,"113,548",　西　區　,"112,278",　西　區　,"112,740",　西　區　,"114,583",　西　區　,"115,273",　西　區　,"115,698",　西　區　,"115,627",　西　區　,"115,747",　西　區　,"115,693",　西　區　,"115,731",　大雅區　,"91,939",　大雅區　,"91,367"
　北　區　,"143,568",　北　區　,"144,097",　北　區　,"142,778",　北　區　,"143,917",　北　區　,"146,590",　北　區　,"147,391",　北　區　,"147,557",　北　區　,"147,653",　北　區　,"147,585",　北　區　,"147,547",　北　區　,"147,471",　新社區　,"25,322",　新社區　,"25,378"
　西屯區　,"236,821",　西屯區　,"235,441",　西屯區　,"231,866",　西屯區　,"230,888",　西屯區　,"231,730",　西屯區　,"230,501",　西屯區　,"228,630",　西屯區　,"227,043",　西屯區　,"224,601",　西屯區　,"221,785",　西屯區　,"218,540",　石岡區　,"15,636",　石岡區　,"15,763"
　南屯區　,"185,192",　南屯區　,"182,232",　南屯區　,"177,930",　南屯區　,"176,782",　南屯區　,"176,062",　南屯區　,"173,532",　南屯區　,"170,618",　南屯區　,"168,760",　南屯區　,"166,685",　南屯區　,"164,575",　南屯區　,"161,906",　外埔區　,"31,845",　外埔區　,"31,797"
　北屯區　,"310,965",　北屯區　,"304,179",　北屯區　,"295,677",　北屯區　,"290,653",　北屯區　,"287,344",　北屯區　,"283,621",　北屯區　,"279,297",　北屯區　,"274,819",　北屯區　,"270,547",　北屯區　,"265,159",　北屯區　,"259,742",　大安區　,"19,720",　大安區　,"19,910"
　豐原區　,"163,163",　豐原區　,"163,948",　豐原區　,"163,476",　豐原區　,"164,726",　豐原區　,"166,053",　豐原區　,"166,875",　豐原區　,"167,025",　豐原區　,"166,879",　豐原區　,"166,778",　豐原區　,"166,749",　豐原區　,"166,458",　烏日區　,"70,624",　烏日區　,"70,068"
　東勢區　,"47,088",　東勢區　,"47,468",　東勢區　,"47,817",　東勢區　,"48,333",　東勢區　,"49,169",　東勢區　,"49,773",　東勢區　,"50,256",　東勢區　,"50,714",　東勢區　,"50,952",　東勢區　,"51,308",　東勢區　,"51,485",　大肚區　,"55,995",　大肚區　,"55,863"
　大甲區　,"74,206",　大甲區　,"74,684",　大甲區　,"74,737",　大甲區　,"75,516",　大甲區　,"76,130",　大甲區　,"76,822",　大甲區　,"77,625",　大甲區　,"77,761",　大甲區　,"77,656",　大甲區　,"77,714",　大甲區　,"77,607",　龍井區　,"75,664",　龍井區　,"75,138"
　清水區　,"90,501",　清水區　,"89,924",　清水區　,"88,947",　清水區　,"88,366",　清水區　,"88,009",　清水區　,"87,587",　清水區　,"86,862",　清水區　,"86,420",　清水區　,"86,350",　清水區　,"86,146",　清水區　,"85,957",　霧峰區　,"64,280",　霧峰區　,"64,183"
　沙鹿區　,"100,152",　沙鹿區　,"98,805",　沙鹿區　,"97,002",　沙鹿區　,"96,039",　沙鹿區　,"95,226",　沙鹿區　,"94,755",　沙鹿區　,"94,079",　沙鹿區　,"92,645",　沙鹿區　,"91,338",　沙鹿區　,"89,592",　沙鹿區　,"87,742",　太平區　,"178,870",　太平區　,"176,594"
