縣市,行政區,113年第四季,113年第三季,113年第二季,113年第一季,112年第四季,112年第三季,112年第二季,112年第一季,111年第四季,111年第三季,111年第二季,111年第一季,110年第四季,110年第三季,110年第二季,110年第一季,109年第四季,109年第三季,109年第二季,109年第一季,108年第四季,108年第三季,108年第二季,108年第一季,107年第四季,107年第三季,107年第二季,107年第一季,106年第四季,106年第三季,106年第二季,106年第一季,105年第四季,105年第三季,105年第二季,105年第一季,104年第四季,104年第三季,104年第二季,104年第一季,103年第四季,103年第三季,103年第二季,103年第一季,102年第四季,102年第三季,102年第二季,102年第一季,101年第四季,101年第三季,101年第二季,101年第一季
桃園市,桃園市,2338648,2338648,2338648,2338648,2317445,2317445,2317445,2317445,2281464,2281464,2281464,2281464,2272391,2272391,2272391,2272391,2268807,2268807,2268807,2268807,2249037,2249037,2249037,2249037,2220872,2220872,2220872,2220872,2188017,2188017,2188017,2188017,2147763,2147763,2147763,2147763,2105780,2105780,2105780,2105780,2058328,2058328,2058328,2058328,2701661,2701661,2701661,2701661,2684893,2684893,2684893,2684893
桃園市,桃園區,475798,475798,475798,475798,470683,470683,470683,470683,462338,462338,462338,462338,458847,458847,458847,458847,457245,457245,457245,457245,452824,452824,452824,452824,447302,447302,447302,447302,440840,440840,440840,440840,434243,434243,434243,434243,427145,427145,427145,427145,417366,417366,417366,417366,20008,20008,20008,20008,20647,20647,20647,20647
桃園市,中壢區,435050,435050,435050,435050,431255,431255,431255,431255,423722,423722,423722,423722,422529,422529,422529,422529,422471,422471,422471,422471,417380,417380,417380,417380,412063,412063,412063,412063,405216,405216,405216,405216,396453,396453,396453,396453,389782,389782,389782,389782,381449,381449,381449,381449,74572,74572,74572,74572,74282,74282,74282,74282
桃園市,大溪區,94404,94404,94404,94404,94607,94607,94607,94607,94313,94313,94313,94313,94870,94870,94870,94870,95664,95664,95664,95664,95550,95550,95550,95550,94885,94885,94885,94885,94451,94451,94451,94451,94102,94102,94102,94102,93343,93343,93343,93343,91887,91887,91887,91887,118349,118349,118349,118349,116807,116807,116807,116807
桃園市,楊梅區,181526,181526,181526,181526,180032,180032,180032,180032,177602,177602,177602,177602,176757,176757,176757,176757,175142,175142,175142,175142,173049,173049,173049,173049,170380,170380,170380,170380,167639,167639,167639,167639,163959,163959,163959,163959,161098,161098,161098,161098,157200,157200,157200,157200,116397,116397,116397,116397,116784,116784,116784,116784
桃園市,蘆竹區,169936,169936,169936,169936,169237,169237,169237,169237,167205,167205,167205,167205,166394,166394,166394,166394,167060,167060,167060,167060,166406,166406,166406,166406,164384,164384,164384,164384,161912,161912,161912,161912,158802,158802,158802,158802,155403,155403,155403,155403,151354,151354,151354,151354,147880,147880,147880,147880,147798,147798,147798,147798
桃園市,大園區,88166,88166,88166,88166,86634,86634,86634,86634,85991,85991,85991,85991,92172,92172,92172,92172,93887,93887,93887,93887,93078,93078,93078,93078,90888,90888,90888,90888,89281,89281,89281,89281,87158,87158,87158,87158,85565,85565,85565,85565,84531,84531,84531,84531,215485,215485,215485,215485,212750,212750,212750,212750
桃園市,龜山區,183895,183895,183895,183895,178297,178297,178297,178297,172274,172274,172274,172274,166767,166767,166767,166767,164398,164398,164398,164398,162921,162921,162921,162921,160591,160591,160591,160591,157633,157633,157633,157633,152817,152817,152817,152817,145580,145580,145580,145580,141998,141998,141998,141998,159952,159952,159952,159952,158300,158300,158300,158300
桃園市,八德區,214690,214690,214690,214690,213403,213403,213403,213403,209952,209952,209952,209952,209665,209665,209665,209665,209202,209202,209202,209202,205974,205974,205974,205974,202198,202198,202198,202198,198074,198074,198074,198074,192922,192922,192922,192922,187420,187420,187420,187420,181431,181431,181431,181431,255978,255978,255978,255978,252668,252668,252668,252668
桃園市,龍潭區,127270,127270,127270,127270,126603,126603,126603,126603,124973,124973,124973,124973,124442,124442,124442,124442,124408,124408,124408,124408,124031,124031,124031,124031,123175,123175,123175,123175,121822,121822,121822,121822,120201,120201,120201,120201,118433,118433,118433,118433,116211,116211,116211,116211,166090,166090,166090,166090,166085,166085,166085,166085
